rank,result_id,target_id,backend_family,production_quality,pLDDT,iPAE,binder_scRMSD,ipTM,min_ipae,avg_ipsae,interface_contact_density,structure_bin,sequence_bin,binder_chain,target_chains,output_chain_identity,src_pdb,dst_pdb
11,318cc47ee82ab10c,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.521581,94.90154,0.14869094,0.16803162,0.8491708,0.033751827,0.6936817,2.3987505,foldseek:d7c0f4abc00cfffe,seq90:318cc47ee82ab10c,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r009_cand_v7r004_hyp_0004_00_001_a816bfb24deec/job_0_n_217_id_66_fk_orig1_bm2-s0to75br1-s75to150br3-s150to225br1-s225to300br3/job_0_n_217_id_66_fk_orig1_bm2-s0to75br1-s75to150br3-s150to225br1-s225to300br3.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank011_complexa_fk_steering_318cc47ee82ab10c.pdb
12,7ec4b31b0cebf83c,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.521011,95.88721,0.15884933,0.41766277,0.8309516,0.044606812,0.64379245,2.7063365,foldseek:7ec4b31b0cebf83c,seq90:ddc3f2b06b232975,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r005_cand_v7r005_hyp_0005_00_001_a975a719abf41/job_0_n_196_id_66_fk_orig2_bm3-s0to75br2-s75to150br3-s150to225br1-s225to300br2/job_0_n_196_id_66_fk_orig2_bm3-s0to75br2-s75to150br3-s150to225br1-s225to300br2.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank012_complexa_fk_steering_7ec4b31b0cebf83c.pdb
13,ac2a7e08238cc948,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.518218,95.662826,0.15808375,0.15900426,0.8321826,0.049039185,0.6343249,2.6577458,foldseek:26e7aa9b2808066b,seq90:ac2a7e08238cc948,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r009_cand_v7r004_hyp_0004_00_001_a816bfb24deec/job_0_n_221_id_67_fk_orig0_bm3-s0to75br0-s75to150br2-s150to225br3-s225to300br0/job_0_n_221_id_67_fk_orig0_bm3-s0to75br0-s75to150br2-s150to225br3-s225to300br0.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank013_complexa_fk_steering_ac2a7e08238cc948.pdb
14,4903bdd9be076132,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.517364,95.223755,0.1541456,0.113586366,0.83782715,0.034809552,0.68147343,2.4401915,foldseek:d7c0f4abc00cfffe,seq90:4903bdd9be076132,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r009_cand_v7r004_hyp_0004_00_001_a816bfb24deec/job_0_n_217_id_67_fk_orig1_bm2-s0to75br1-s75to150br3-s150to225br1-s225to300br2/job_0_n_217_id_67_fk_orig1_bm2-s0to75br1-s75to150br3-s150to225br1-s225to300br2.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank014_complexa_fk_steering_4903bdd9be076132.pdb
15,49de4642fd533db2,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.512877,94.152004,0.14580329,0.2553388,0.8211819,0.050022103,0.60942507,2.1978245,foldseek:49de4642fd533db2,seq90:c9d234ce692789bf,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r005_cand_v7r005_hyp_0005_00_001_a975a719abf41/job_0_n_177_id_66_fk_orig3_bm1-s0to75br0-s75to150br3-s150to225br3-s225to300br2/job_0_n_177_id_66_fk_orig3_bm1-s0to75br0-s75to150br3-s150to225br3-s225to300br2.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank015_complexa_fk_steering_49de4642fd533db2.pdb
16,5ceafdf37679077b,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.497209,93.92636399999999,0.15184171,0.25849703,0.83793914,0.046822112,0.66561365,2.384098,foldseek:d0fcccb2f62d94bc,seq90:5ceafdf37679077b,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r005_cand_v7r005_hyp_0005_00_001_a975a719abf41/job_0_n_214_id_64_fk_orig0_bm0-s0to75br3-s75to150br2-s150to225br2-s225to300br0/job_0_n_214_id_64_fk_orig0_bm0-s0to75br3-s75to150br2-s150to225br2-s225to300br0.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank016_complexa_fk_steering_5ceafdf37679077b.pdb
17,badd430e2587647a,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.495275,94.288945,0.1564914,0.2520073,0.8483683,0.035129968,0.6940484,2.4058418,foldseek:d7c0f4abc00cfffe,seq90:badd430e2587647a,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r009_cand_v7r004_hyp_0004_00_001_a816bfb24deec/job_0_n_217_id_65_fk_orig1_bm2-s0to75br1-s75to150br3-s150to225br1-s225to300br1/job_0_n_217_id_65_fk_orig1_bm2-s0to75br1-s75to150br3-s150to225br1-s225to300br1.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank017_complexa_fk_steering_badd430e2587647a.pdb
18,d7c0f4abc00cfffe,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.491314,94.31568999999999,0.1588559,0.21699312,0.8368065,0.035147488,0.67561376,2.4739604,foldseek:d7c0f4abc00cfffe,seq90:d7c0f4abc00cfffe,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r009_cand_v7r004_hyp_0004_00_001_a816bfb24deec/job_0_n_217_id_64_fk_orig1_bm2-s0to75br1-s75to150br3-s150to225br1-s225to300br2/job_0_n_217_id_64_fk_orig1_bm2-s0to75br1-s75to150br3-s150to225br1-s225to300br2.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank018_complexa_fk_steering_d7c0f4abc00cfffe.pdb
19,d0fcccb2f62d94bc,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.486883,93.619967,0.1542446,0.2076597,0.8385838,0.03862257,0.67595685,2.465147,foldseek:d0fcccb2f62d94bc,seq90:d0fcccb2f62d94bc,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r005_cand_v7r005_hyp_0005_00_001_a975a719abf41/job_0_n_214_id_65_fk_orig0_bm0-s0to75br3-s75to150br2-s150to225br1-s225to300br2/job_0_n_214_id_65_fk_orig0_bm0-s0to75br3-s75to150br2-s150to225br1-s225to300br2.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank019_complexa_fk_steering_d0fcccb2f62d94bc.pdb
20,fda8214abdea2563,32_PDL1_ALPHA_REPACK,structure_refilter,0.477891,94.2706972360611,0.1655120700597763,0.5854005217552185,,,,,foldseek:396d2b37b3435502,seq90:fda8214abdea2563,B,A,verified,/work/results/glm-think/campaign/worker_outputs/r039_structure_refilter_chain_v7r008_proteinmpnn_redesign_to_structure_refilter_099/af2_refilter_prediction.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank020_structure_refilter_fda8214abdea2563.pdb
21,90954ebcee1f2cac,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.474052,95.03867,0.17522451,0.43979618,0.81559443,0.04985139,0.594373,2.7946732,foldseek:7ec4b31b0cebf83c,seq90:90954ebcee1f2cac,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r005_cand_v7r005_hyp_0005_00_001_a975a719abf41/job_0_n_196_id_67_fk_orig2_bm3-s0to75br2-s75to150br3-s150to225br0-s225to300br3/job_0_n_196_id_67_fk_orig2_bm3-s0to75br2-s75to150br3-s150to225br0-s225to300br3.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank021_complexa_fk_steering_90954ebcee1f2cac.pdb
22,15ebf5a01bd891fd,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.446573,91.201884,0.15140437,0.30977654,0.83899593,0.04244384,0.6169541,1.8561755,foldseek:208b76711d1d13dd,seq90:15ebf5a01bd891fd,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r009_cand_v7r004_hyp_0004_00_001_a816bfb24deec/job_0_n_166_id_67_fk_orig3_bm2-s0to75br0-s75to150br3-s150to225br3-s225to300br3/job_0_n_166_id_67_fk_orig3_bm2-s0to75br0-s75to150br3-s150to225br3-s225to300br3.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank022_complexa_fk_steering_15ebf5a01bd891fd.pdb
23,208b76711d1d13dd,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.43857,90.82879,0.1519104,0.32259327,0.85096854,0.038175806,0.6466226,1.7926897,foldseek:208b76711d1d13dd,seq90:208b76711d1d13dd,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r009_cand_v7r004_hyp_0004_00_001_a816bfb24deec/job_0_n_166_id_65_fk_orig3_bm2-s0to75br0-s75to150br3-s150to225br3-s225to300br0/job_0_n_166_id_65_fk_orig3_bm2-s0to75br0-s75to150br3-s150to225br3-s225to300br0.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank023_complexa_fk_steering_208b76711d1d13dd.pdb
24,d5617cc78bde4349,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.435087,92.51693,0.17063558,0.32170397,0.8163333,0.042716794,0.6356849,2.4113865,foldseek:d0fcccb2f62d94bc,seq90:d5617cc78bde4349,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r005_cand_v7r005_hyp_0005_00_001_a975a719abf41/job_0_n_214_id_67_fk_orig0_bm0-s0to75br3-s75to150br0-s150to225br3-s225to300br2/job_0_n_214_id_67_fk_orig0_bm0-s0to75br3-s75to150br0-s150to225br3-s225to300br2.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank024_complexa_fk_steering_d5617cc78bde4349.pdb
25,c9069312cbadee23,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.389897,92.76048,0.19699523,0.17927931,0.74401134,0.07568913,0.46013543,2.6537735,foldseek:d0fcccb2f62d94bc,seq90:c9069312cbadee23,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r005_cand_v7r005_hyp_0005_00_001_a975a719abf41/job_0_n_214_id_66_fk_orig0_bm0-s0to75br3-s75to150br2-s150to225br1-s225to300br3/job_0_n_214_id_66_fk_orig0_bm0-s0to75br3-s75to150br2-s150to225br1-s225to300br3.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank025_complexa_fk_steering_c9069312cbadee23.pdb
26,68b0b1e33a20deb6,32_PDL1_ALPHA_REPACK,structure_refilter,0.376534,94.49085853993893,0.15823934972286224,0.9788056015968323,,,,,foldseek:396d2b37b3435502,seq90:68b0b1e33a20deb6,B,A,verified,/work/results/glm-think/campaign/worker_outputs/r019_structure_refilter_chain_v7r008_proteinmpnn_redesign_to_structure_refilter_087/af2_refilter_prediction.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank026_structure_refilter_68b0b1e33a20deb6.pdb
27,ddc3f2b06b232975,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.371078,94.40765,0.19608428,0.7640725,0.7774832,0.06167457,0.5104025,2.9947984,foldseek:7ec4b31b0cebf83c,seq90:ddc3f2b06b232975,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r005_cand_v7r005_hyp_0005_00_001_a975a719abf41/job_0_n_196_id_65_fk_orig2_bm3-s0to75br2-s75to150br3-s150to225br1-s225to300br3/job_0_n_196_id_65_fk_orig2_bm3-s0to75br2-s75to150br3-s150to225br1-s225to300br3.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank027_complexa_fk_steering_ddc3f2b06b232975.pdb
28,c2a63ab9958c469f,32_PDL1_ALPHA_REPACK,structure_refilter,0.365549,93.23882684111595,0.1905594915151596,0.7446571588516235,,,,,foldseek:396d2b37b3435502,seq90:c2a63ab9958c469f,B,A,verified,/work/results/glm-think/campaign/worker_outputs/r048_structure_refilter_chain_v7r008_proteinmpnn_redesign_to_structure_refilter_104/af2_refilter_prediction.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank028_structure_refilter_c2a63ab9958c469f.pdb
29,ac075b244a04d1c8,32_PDL1_ALPHA_REPACK,structure_refilter,0.340516,94.6738637983799,0.1571008265018463,1.1110271215438843,,,,,foldseek:396d2b37b3435502,seq90:ac075b244a04d1c8,B,A,verified,/work/results/glm-think/campaign/worker_outputs/r035_structure_refilter_chain_v7r008_proteinmpnn_redesign_to_structure_refilter_097/af2_refilter_prediction.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank029_structure_refilter_ac075b244a04d1c8.pdb
30,a9aad458ba069f0d,32_PDL1_ALPHA_REPACK,structure_refilter,0.33904,93.97931918501854,0.1779933124780655,0.9486885666847229,,,,,foldseek:396d2b37b3435502,seq90:a9aad458ba069f0d,B,A,verified,/work/results/glm-think/campaign/worker_outputs/r046_structure_refilter_chain_v7r008_proteinmpnn_redesign_to_structure_refilter_103/af2_refilter_prediction.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank030_structure_refilter_a9aad458ba069f0d.pdb
31,396d2b37b3435502,32_PDL1_ALPHA_REPACK,structure_refilter,0.328838,94.23618465662003,0.16507554054260254,1.074013113975525,,,,,foldseek:396d2b37b3435502,seq90:396d2b37b3435502,B,A,verified,/work/results/glm-think/campaign/worker_outputs/r017_structure_refilter_chain_v7r008_proteinmpnn_redesign_to_structure_refilter_086/af2_refilter_prediction.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank031_structure_refilter_396d2b37b3435502.pdb
32,c8ba0c426a81cdb6,32_PDL1_ALPHA_REPACK,structure_refilter,0.322682,93.66473406553268,0.19126902520656586,0.9021182060241699,,,,,foldseek:396d2b37b3435502,seq90:c8ba0c426a81cdb6,B,A,verified,/work/results/glm-think/campaign/worker_outputs/r010_structure_refilter_chain_v7r008_proteinmpnn_redesign_to_structure_refilter_082/af2_refilter_prediction.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank032_structure_refilter_c8ba0c426a81cdb6.pdb
33,7b2fecb531a668ee,32_PDL1_ALPHA_REPACK,structure_refilter,0.321052,94.07657198607922,0.18248426914215088,0.984715461730957,,,,,foldseek:396d2b37b3435502,seq90:7b2fecb531a668ee,B,A,verified,/work/results/glm-think/campaign/worker_outputs/r054_structure_refilter_chain_v7r008_proteinmpnn_redesign_to_structure_refilter_107/af2_refilter_prediction.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank033_structure_refilter_7b2fecb531a668ee.pdb
34,7f007f29a8ed1d09,32_PDL1_ALPHA_REPACK,structure_refilter,0.318228,93.45163181424141,0.1614115685224533,1.0826258659362793,,,,,foldseek:396d2b37b3435502,seq90:7f007f29a8ed1d09,B,A,verified,/work/results/glm-think/campaign/worker_outputs/r015_structure_refilter_chain_v7r008_proteinmpnn_redesign_to_structure_refilter_085/af2_refilter_prediction.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank034_structure_refilter_7f007f29a8ed1d09.pdb
35,3d00ae15064fa9ed,32_PDL1_ALPHA_REPACK,structure_refilter,0.290139,94.34085562825203,0.17041730880737305,1.1711671352386475,,,,,foldseek:396d2b37b3435502,seq90:3d00ae15064fa9ed,B,A,verified,/work/results/glm-think/campaign/worker_outputs/r012_structure_refilter_chain_v7r008_proteinmpnn_redesign_to_structure_refilter_084/af2_refilter_prediction.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank035_structure_refilter_3d00ae15064fa9ed.pdb
36,e33f071f0db626d3,32_PDL1_ALPHA_REPACK,structure_refilter,0.289229,93.74169856309891,0.18965764343738556,1.0226686000823975,,,,,foldseek:396d2b37b3435502,seq90:e33f071f0db626d3,B,A,verified,/work/results/glm-think/campaign/worker_outputs/r022_structure_refilter_chain_v7r008_proteinmpnn_redesign_to_structure_refilter_089/af2_refilter_prediction.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank036_structure_refilter_e33f071f0db626d3.pdb
37,da56b92f28491f19,32_PDL1_ALPHA_REPACK,structure_refilter,0.279894,96.16819471120834,0.16326582431793213,1.356261968612671,,,,,foldseek:26e7aa9b2808066b,seq90:da56b92f28491f19,B,A,verified,/work/results/glm-think/campaign/worker_outputs/r008_structure_refilter_chain_v7r004_proteinmpnn_redesign_to_structure_refilter_026/af2_refilter_prediction.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank037_structure_refilter_da56b92f28491f19.pdb
38,fb70ccfc00a323d4,32_PDL1_ALPHA_REPACK,structure_refilter,0.275251,93.43513175845146,0.18269333243370056,1.0904613733291626,,,,,foldseek:396d2b37b3435502,seq90:fb70ccfc00a323d4,B,A,verified,/work/results/glm-think/campaign/worker_outputs/r050_structure_refilter_chain_v7r008_proteinmpnn_redesign_to_structure_refilter_105/af2_refilter_prediction.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank038_structure_refilter_fb70ccfc00a323d4.pdb
39,4ef1cfc7553da9df,32_PDL1_ALPHA_REPACK,structure_refilter,0.274065,94.09430101513863,0.17764213681221008,1.1640855073928833,,,,,foldseek:396d2b37b3435502,seq90:4ef1cfc7553da9df,B,A,verified,/work/results/glm-think/campaign/worker_outputs/r027_structure_refilter_chain_v7r008_proteinmpnn_redesign_to_structure_refilter_093/af2_refilter_prediction.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank039_structure_refilter_4ef1cfc7553da9df.pdb
40,5f2e5643ef68e257,32_PDL1_ALPHA_REPACK,structure_refilter,0.264178,92.73331761360168,0.21902625262737274,0.8655267357826233,,,,,foldseek:396d2b37b3435502,seq90:5f2e5643ef68e257,B,A,verified,/work/results/glm-think/campaign/worker_outputs/r029_structure_refilter_chain_v7r008_proteinmpnn_redesign_to_structure_refilter_095/af2_refilter_prediction.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank040_structure_refilter_5f2e5643ef68e257.pdb
41,40543e728fd45b4a,32_PDL1_ALPHA_REPACK,structure_refilter,0.257266,94.02642846107483,0.16171081364154816,1.3089629411697388,,,,,foldseek:396d2b37b3435502,seq90:40543e728fd45b4a,B,A,verified,/work/results/glm-think/campaign/worker_outputs/r031_structure_refilter_chain_v7r008_proteinmpnn_redesign_to_structure_refilter_096/af2_refilter_prediction.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank041_structure_refilter_40543e728fd45b4a.pdb
42,ee43833f798a888a,32_PDL1_ALPHA_REPACK,structure_refilter,0.256975,92.32480898499489,0.22313858568668365,0.8392215371131897,,,,,foldseek:396d2b37b3435502,seq90:ee43833f798a888a,B,A,verified,/work/results/glm-think/campaign/worker_outputs/r026_structure_refilter_chain_v7r008_proteinmpnn_redesign_to_structure_refilter_092/af2_refilter_prediction.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank042_structure_refilter_ee43833f798a888a.pdb
43,db5595559b4a323e,32_PDL1_ALPHA_REPACK,structure_refilter,0.25128,94.41168159246445,0.1721208244562149,1.2886323928833008,,,,,foldseek:396d2b37b3435502,seq90:db5595559b4a323e,B,A,verified,/work/results/glm-think/campaign/worker_outputs/r024_structure_refilter_chain_v7r008_proteinmpnn_redesign_to_structure_refilter_091/af2_refilter_prediction.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank043_structure_refilter_db5595559b4a323e.pdb
